source_file,dataset_version,difficulty_level,difficulty_name,feature_variant,condition,video_id,category,original_prediction,swapped_prediction
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,low_boundary,l5_color_only_sample_001_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,temporal_boundary,l5_color_only_sample_001_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,visual_boundary,l5_color_only_sample_001_visual_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,audio_boundary,l5_color_only_sample_001_audio_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,low_boundary,l5_color_only_sample_002_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,temporal_boundary,l5_color_only_sample_002_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,visual_boundary,l5_color_only_sample_002_visual_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,audio_boundary,l5_color_only_sample_002_audio_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,low_boundary,l5_color_only_sample_003_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,temporal_boundary,l5_color_only_sample_003_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,visual_boundary,l5_color_only_sample_003_visual_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,audio_boundary,l5_color_only_sample_003_audio_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,low_boundary,l5_color_only_sample_004_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,temporal_boundary,l5_color_only_sample_004_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,visual_boundary,l5_color_only_sample_004_visual_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,audio_boundary,l5_color_only_sample_004_audio_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,low_boundary,l5_color_only_sample_005_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,temporal_boundary,l5_color_only_sample_005_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,visual_boundary,l5_color_only_sample_005_visual_boundary.mp4,original_wrong_swapped_correct,B,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,audio_boundary,l5_color_only_sample_005_audio_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,low_boundary,l5_color_only_sample_006_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,temporal_boundary,l5_color_only_sample_006_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,visual_boundary,l5_color_only_sample_006_visual_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,audio_boundary,l5_color_only_sample_006_audio_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,low_boundary,l5_color_only_sample_007_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260608_153106/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_L5_color_only/20260608_152553/raw_results.jsonl,l5_feature_ablation_v1,5,L5_color_only,color_only,temporal_boundary,l5_color_only_sample_007_temporal_boundary.mp4,both_correct,A,B
