source_file,dataset_name,dataset_version,difficulty_level,difficulty_name,feature_variant,size_scene_variant,base_sample_id,comparison,condition,baseline_condition,condition_accuracy,baseline_accuracy,difference,direction
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,1,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,1,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,1,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,2,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,2,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,2,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,3,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,3,temporal_boundary_minus_low_boundary,temporal_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,3,visual_boundary_minus_low_boundary,visual_boundary,low_boundary,1.0,1.0,0.0,same
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/l5_feature_ablation_v1_main_L5_color_only/20260612_155037/raw_results.jsonl,l5_feature_ablation_v1_main_L5_color_only,l5_feature_ablation_v1,5,L5_color_only,color_only,,4,audio_boundary_minus_low_boundary,audio_boundary,low_boundary,1.0,1.0,0.0,same
